chapter_title,chapter_number,avg_num_words,avg_num_panels,avg_word_to_image_ratio
The Veil (1),1,99.57142857142857,7.125,13.974937343358397
The Bicycle (2),2,67.625,4.888888888888889,13.832386363636363
The Water Cell (3),3,110.875,6.333333333333333,17.50657894736842
Persepolis (4),4,101.57142857142857,5.375,18.897009966777407
The Letter (5),5,109.0,6.0,18.166666666666668
The Party (6),6,99.0,5.0,19.8
The Heroes (7),7,107.0,6.625,16.150943396226417
Moscow (8),8,123.125,6.555555555555555,18.781779661016948
The Sheep (9),9,82.0,5.636363636363637,14.548387096774192
The Trip (10),10,144.125,5.777777777777778,24.94471153846154
The F-14S (11),11,116.71428571428571,6.75,17.29100529100529
The Jewels (12),12,117.14285714285714,5.75,20.372670807453414
The Key (13),13,124.33333333333333,5.7,21.81286549707602
The Wine (14),14,102.625,5.666666666666667,18.110294117647058
The Cigarette (15),15,118.85714285714286,5.875,20.231003039513677
The Passport (16),16,146.375,6.333333333333333,23.111842105263158
Kim Wilde (17),17,119.11111111111111,6.4,18.61111111111111
The Shabbat (18),18,108.0,5.444444444444445,19.83673469387755
The Dowry (19),19,118.0,6.416666666666667,18.38961038961039
The Soup (20),20,115.22222222222223,6.6,17.45791245791246
Tyrol (21),21,111.77777777777777,5.2,21.495726495726494
Pasta (22),22,132.57142857142858,6.25,21.211428571428574
The Pill (23),23,124.22222222222223,6.3,19.717813051146386
The Vegetable (24),24,139.77777777777777,5.3,26.37316561844864
The Horse (25),25,173.22222222222223,6.8,25.473856209150327
Hide And Seek (26),26,155.4375,6.235294117647059,24.92865566037736
The Croissant (27),27,145.5,6.909090909090909,21.059210526315788
The Veil (28),28,118.76923076923077,6.0,19.794871794871796
The Return (29),29,162.08333333333334,6.461538461538462,25.0843253968254
The Joke (30),30,188.77777777777777,7.2,26.219135802469133
Skiing (31),31,150.11111111111111,6.7,22.40464344941957
The Exam (32),32,166.77777777777777,6.3,26.472663139329807
The Makeup (33),33,166.57142857142858,6.25,26.651428571428575
The Convocation (34),34,203.14285714285714,4.875,41.67032967032967
The Socks (35),35,106.7,6.285714285714286,16.975
The Wedding (36),36,170.625,6.666666666666667,25.59375
The Satellite (37),37,183.25,6.444444444444445,28.435344827586206
The End (38),38,177.6153846153846,6.214285714285714,28.581786030061892
