word,relative_frequency
hell,0.067
sex,0.067
hungry,0.067
promise,0.067
killed,0.067
enrique,0.067
kia,0.067
take care,0.067
next day,0.067
let go,0.067
goodbye,0.06
close,0.06
tumans,0.06
pay,0.06
departure,0.06
keep,0.06
t,0.06
person,0.06
zozo,0.06
hit,0.06
satrapi,0.06
evening,0.06
oil,0.06
use,0.06
seemed,0.06
past,0.06
haha,0.06
peace,0.06
possible,0.06
asked,0.06
meant,0.06
d,0.06
act,0.06
city,0.06
wall,0.06
demonstration,0.06
fight,0.06
welcome,0.06
seem,0.06
hero,0.06
attacked,0.06
hope,0.06
difficult,0.06
wedding,0.06
bag,0.06
food,0.06
mind,0.06
happily,0.06
freedom,0.06
flower,0.06
change,0.06
punk,0.06
suffered,0.06
heart,0.06
lose,0.06
college,0.06
bring,0.06
aside,0.06
mountain,0.06
poster,0.06
nun,0.06
tape,0.06
two years,0.06
two weeks,0.06
four years,0.06
stupid,0.054
seven,0.054
leaving,0.054
grow,0.054
visa,0.054
republic,0.054
political,0.054
religion,0.054
truth,0.054
door,0.054
turkey,0.054
lucky,0.054
third,0.054
shame,0.054
funny,0.054
side,0.054
middle,0.054
university,0.054
getting,0.054
dream,0.054
o,0.054
fundamentalist,0.054
several,0.054
air,0.054
passed,0.054
start,0.054
shit,0.054
taken,0.054
saddam,0.054
waiting,0.054
arab,0.054
ready,0.054
show,0.054
neighborhood,0.054
c,0.054
supermarket,0.054
noticed,0.054
feeling,0.054
mr,0.054
bought,0.054
exactly,0.054
died,0.054
momo,0.054
director,0.054
moment,0.054
self,0.054
nail,0.054
draw,0.054
different,0.054
ended,0.054
worked,0.054
bakunin,0.054
hurry,0.054
fault,0.054
ga,0.054
stories,0.054
ingrid,0.054
million,0.054
key,0.054
go home,0.054
even though,0.054
frau doctor,0.054
doctor heller,0.054
years old,0.054
w,0.047
certainly,0.047
hurt,0.047
along,0.047
marti,0.047
death,0.047
dare,0.047
ma'am,0.047
pretty,0.047
stayed,0.047
realized,0.047
apparently,0.047
khosro,0.047
virgin,0.047
emperor,0.047
naturally,0.047
destiny,0.047
uhh,0.047
studied,0.047
marx,0.047
rule,0.047
social,0.047
tired,0.047
though,0.047
sick,0.047
fun,0.047
suit,0.047
quite,0.047
couple,0.047
pick,0.047
public,0.047
study,0.047
hotel,0.047
incredible,0.047
protect,0.047
interested,0.047
hot,0.047
chance,0.047
west,0.047
pray,0.047
star,0.047
alive,0.047
number,0.047
attack,0.047
straight,0.047
buy,0.047
dozen,0.047
cold,0.047
beat,0.047
yet,0.047
voice,0.047
everywhere,0.047
mouth,0.047
asking,0.047
divorced,0.047
western,0.047
caught,0.047
game,0.047
face,0.047
ugly,0.047
unfortunately,0.047
anoosh,0.047
ebi,0.047
revolutionary,0.047
parties,0.047
eight,0.047
drawing,0.047
jean,0.047
music,0.047
toward,0.047
balls,0.047
alright,0.047
border,0.047
difference,0.047
leg,0.047
anarchist,0.047
paid,0.047
